1,2,3,4,5
근데 방이 겨우 2개야? 너무 적지 않나?,아버지 안방. 니 방. 그럼 됐지 뭘. 작은 방 여러 개보다 안방이랑 거실을 그만큼 넓게 써. 그게 훨 나.,손님이라도 오면... 사랑방. 그런 거 있잖아.,뭔가 재미있어 보였는걸요.,"그래서 재밌는 거만 연달아 타려고요!! 롤러코스터만 백만 번 탈 거예요. 아니, 그냥 다 타고 올까요?"
 너 얘기 안했어? 그게... 얘가 나를 하도 쫓아와서.,이건 또 무슨 창의적인 소릴까?,"에이. 뭐 어때, 이제와서. 괜찮아. 고백해. 사람이 솔직해야지.",그렇죠. 지금 끝났어요. 너무 힘들었어요.,수고했어요. 망키님. 이제 집에 가는 건가요?
그럼 노유동이 어디야?,... 모르겠는데요., 요기잖아. 요기. 강 건너 윗동네도 몰라?,좋아요! 그럼 종일 맥이랑 함께 하네요!,응!! 물론 지금도 마음만은 함께이지만요!! 그때는 그냥 함께에요! 생각만 해도 너무 두근거리잖아요!! 시간을 빨리 넘기고 싶어져요!
여기서 오래 살았어요?,뭐... 태어나서 계속... ,와. 그럼 동네 잘 알겠다. ,그때까지 열심히 뺄 수 있을지 과거의 내가 미래의 나를 걱정하고 있어요. 여름방학 때 이쁜 옷 입고 놀러 가고 싶어요.,뺄 수 있죠!! 힘내 봐요!! 나도 살 빼서 여름방학 때 예쁜 옷 입고 놀러 가고 싶어서 꼭 빼야 해요.
여긴 무슨 집이에요?,아. 여기 아무도 안 살아요. 빈 집이에요.,왜요?,그렇군요!! 우리 설화님이랑 같은 미용실 다닐 거라고 자랑해야겠어요.,저도 열심히 길러서 좀 있으면 붙임머리와 작별인사할 예정이에요. 라엘님 긴 머리 기대할게요.
... 예? 그게... 뭐가 공평하다는 건지. 전 잘...?,근데 왜 말 안 놔? 동갑인데.,... 먼저 노세요. ,상태 보고 올라가게 되면 바로 연락할게요.,네. 알겠어요!
"이상해. 저렇게 집들이 많은데, 저 중에 내 집이 하나 없다는 게.",어른 되면 저거 하나 사려구 평생 돈 모은 다잖아. ,서울은 정말 복잡하구나. 사람도 너무 많고...,"반바지요!! 왜냐하면, 내가 긴 바지 입고 언니가 반바지 입으면 멋지기 때문이죠.",그래요. 그럼 반바지를 입고 가겠어요.
 우리 아빠는 배 타. 유조선 선장. 마도로스.,그럼 여기엔 엄마랑 같이 있는 거야?,엄만 돌아가셨어. 여긴 친척집에 잠깐 있는 거야. ,일요일이에요.,열린 곳도 있지 않아요?
4미터라니깐.,그니까 그게 어느 정도냐구? 상상이 안 돼.,... 한 이정도? ,가달라고 한 건 아니에요.,"아니, 사실 나도 가고 싶어요."
"바로 여기. 주방이 되고, 이쪽으로 새로 거실 벽이 생기고.",그럼 거기에 책장을 짤까? 벽 전체를 꽉 채워서. 그럼 예쁠 거 같은데.,책이 그렇게 많어?,명이 조금만 더 보고 자죠!,그래! 낮 동안 코우시님 완전 보고 싶었어요.
어. 근데. 잠깐! 이건 또 뭐야? ,거실창이잖아. 여기서 그대로 테라스랑 마당으로 이어지게., 아...  ,저음 위주나 밸런스형 다 좋아요.,eph-100 im-70! 돈 조금만 더 잡으면 im02나 ckr9도 있는데 중고는 싫다고 하셨으니 어쩔 수 없네요.
선배. 여기서 아침 드시고 서울 올라가시죠?,그래. 그러자. 배 고프다. ,근데... 선배. 요즘 무슨 좋은 일 있죠?,저음 위주나 밸런스형 다 좋아요.,eph-100 im-70! 돈 조금만 더 잡으면 im02나 ckr9도 있는데 중고는 싫다고 하셨으니 어쩔 수 없네요.
 어머! 정말? 언제?,아마... 연말쯤? 늦어도 연초에는...,축하해. 근데 왜 지금까지 아무 말도 없었어?,저는 지인 분 사실 때 탑승했어요. 직접 구매 너무 어려워요. 근데 혼혈렌즈 같은 자연스러운 건 다 작게 나오는 거 같아요. 눈동자보다 크면 흰자에서 발색이 잘 나오지 않더라고요.,저도 나중에 지인 분들 사실 때 탑승해봐야겠어요. 흰자에서 발색이 잘 안 나온다니 작게 나온 게 예쁘긴 하겠네요.
달랑 방 하나에서 먹고 자고. 그렇게 어떻게 사냐? 그래두 신혼인데...,그 얘기 끝났잖아.,우리 이모가 그러는데 이스트빌리지 쪽이 살기 좋다고. 거기가 학교도 가깝고.,"음, 그렇군요! 다음에 나비 보면 붙잡지 않고 인사만 할게요! 친구 두 명 이야기인데 더 말하면 스포일런데 괜찮아요?",잘 가요 하면 돼요. 무서운 거 아니죠?
너 어떻게 된 거야! 한 시간두 넘게 기다렸잖아!,그냥 열쇠 집 불러서 열지.,그런데 쓸 돈이 어딨어? 돈이 남아돌아?,부산대 근처에 놀 곳이나 먹을 게 있는지 모르겠어요.,먹을 건 많아요!! 디저트도 있고요!!
근데... 걔네 둘이... 진짜루 금방 친해졌거든? 숙제도 같이하고... 자기 집 얘기도 하고 그러면서... 근데... ,근데?,그럼... 그 여자애는 그 남자애랑... 왜 친해진 걸까?,부산대 근처에 놀 곳이나 먹을 게 있는지 모르겠어요.,먹을 건 많아요!! 디저트도 있고요!!
지금 방 하나 더 만들 순 없는 거야?,...  응. 없어.,아무리 생각해도 방 2개는... 지금 어떻게 안될까?,다음에 한 번 만나요!!,올 수 있겠어요? 대신 내가 어느 정도야 지원해주겠지만? 날 맞추면 숙박도 가능해요!
지금 보니까 운동장 참... 작다.,오늘따라 뭐든지 다 작아 보이는구나. 너 요즘 키 크니? ,근데... 궁금한 게 있는데...,너무 우울하네요.,학교 안 가요?
너 그랬어.,안 그랬어.,그때. 분명히 그랬어.,무려 왔다 갔다 네 시간 이잖아요. 저따위에게 소중한 쏘님의 네시간을 버릴 수 없어요.,저는 소중한 곡비님이니까 네 시간을 쏟으려는 거죠! 그래도 뭔가 뭐라 하지 곡비님 보면 아는 척도 못해보고 곡비님 예쁘다. 이러고 빵만 잔뜩 사 갈 것 같은 기분이에요.
기분도 그런데. 우리 술 마실까? 술먹자. 술.,됐어. 무슨 술이야., 오늘 나랑 놀자. ,카레 집 쪽에서 선샤인가는 방향으로 올라가다 보면 있지 않아요?,규동 가게가 제가 말하는 세븐일레븐 맞은편에 있어요.
미국은 갔다 언제와?,모르지 뭐. 몇 년이 될지... 가봐야 알지.,섭섭하겠다. 그 동네에서 오래 살았잖아.,카레 집 쪽에서 선샤인가는 방향으로 올라가다 보면 있지 않아요?,첫날에 규카츠 먹을 때 지나간 세븐일레븐이요.
그냥 여기서 평생 엄마랑 같이 살까?,난 그냥... 걱정 돼서... ,니가 그런 걱정을 왜 해?,가까이 가는 거 자체가 너무 무서워요. 저 정도 되는 게 나한테 올 수도 있잖아요.,잡으러 가줄까요? 지금 퇴근하고 집 가는 중이에요.
우리 10년 뒤에 뭐하고 있을까?,난 건축하고 넌 피아노치고 있겠지.,아니. 난... 피아노 안 칠 꺼야.,수업 존 거 나도 있어요. 상담 안 해요.,우리는 상담 안 받으면 졸업이 안 돼요. 한 학기 2번인데 지도교수님 1번 해도 2번으로 해주시는 상냥하신 분이에요. 그리고 매번 수업시간에 졸아요.
나 오늘 생일이다., 오늘?,응.,우왕. 좋아요.,일단 소라님 오늘 많이 피곤하셨을 테니까 푹 쉬시고 내일 목소리 나오길 바랄게요.
 저번에 철길 걷기 내기를 했는데... ,그게 뭐야?,몰라? 철길 걷다가 먼저 떨어지는 사람이 지는 거.,시각디자인과 가시는군요. 전 만화창작과나 애니 쪽일 줄 알았어요. 공부 열심히 하시고 그림 열심히 그리세요.,만화창작과 나 애니 쪽 가고 싶은데 어쩌다 보니 시각디자인과 가게 되었어요. 슬퍼요.
오빠 오피스텔이 대치동이죠? 거기 얼마나 해요?,왜? 너 이사 오게?,네.,다음에 만나요!!! 먹으러 가게요.,네!!
 엄마 우리 이사 가면 안 돼?,무슨 이살 가?,그냥 이사... ,6천 원?,연수기간이라 적은 건가요?
저기... 첫 눈 올 때... 뭐 해?,첫 눈? 그거 언제 오는데?, 아... 그러니까... 글쎄... 보통 겨울에... 때 되면... ,없는 이쁨이 보일 리가 없어요.,월요일만을 기다리겠어요!!
선배. 좋은 기회잖아요?,... 글쎄.,아니. 반응이 왜 이래? 난 무지 칭찬 받을 줄 알았는데. 고맙다고 뭐 먹고 싶냐고 물어보면 한우 사달라고 그러려구 그랬는데.,맛있겠어요.,갈빗살도 충분히 맛있겠는데요!!
여긴 정말... 하나도 안변했네. ,밥 먹자. 내가 살께.,여기서 체르니 처음 시작했는데. ,뭐예요?? 진짜 부러워요.,그런데 길치라서 혼자서는 못 다녀요.
근데 선물은 없어? ,역시 막국수는 춘천 막국수라고.,국수 한 끼로 퉁치게?,일찍 갔네요! 네가 더 일찍 도착하는 거 아니에요??,저 9시 차라서 내가 더 늦을 걸요.
"다음주 준공검사 앞두고, 이제와서 무슨 2층을 올려? 장난쳐?",추가 비용 다 감수하겠대.,돈이면 다야? 설계 다시 하고 골조 건들면 최소한 한달인데. 그럼 스케쥴은?,알았어요. 도와줘서 고마워요. 이번에 교수님한테 말해서 제빵실 쓰려고 하는데 그때 만들면 보내줄게요. 고마워요.,"우와, 토보님이 만든 거리니 곧 오는 졸업 작품도 화이팅해요. 명석이가 너희 반 졸업 작품 담당이면 매주 발표니까 열심히 해요."
어디 가세요?,... 정릉이요.,아... 정릉은 안 되는데...,그래도 가면 아는 분들 꽤 있지 않을까요!,서울에 지인이 많지 않아요.
꼭 오셔야 돼요. ,... 결혼 축하해.  ,그럼 저희 먼저 가 볼께요.  오늘 회사에서 저희 환송회가 있어서... ,아니요. 오늘 밀린 약속들 때문에 종일 밖에 있었더니 지금 거의 죽어가고 있어요.,휴일이 휴일이 아니네요. 내일은 끙끙쌤님의 휴식이 보장된 건가요?
 왜 더 자.,... 답답해.,답답해? 어디가 어떻게 답답해?,멜론도 가격 거의 똑같았던 것 같아요!,더 고민이 되는군요.
또 선거 운동이야? 선거 운동을 하는 건 좋은 데 꼭 저렇게 시끄럽게 해야 돼? 요즘에는 조용한 선거 유세가 늘고 있다던데.,그러게. 조용히 악수를 청하는 후보자도 있고 손을 흔들며 인사하는 후보자도 있다는데 말이야.,소리가 크다고 홍보가 잘 되는 건 아닌데.,그런 직업이 있긴 할까요?,그런 직업이 있다면 제가 먼저 할게요.
요즘 퇴근 후에 뭐 해요? 매일 일찍 나가는 것 같아요.,"아, 집 근처 가구 만드는 곳에 가서 책상을 만들고 있어요.",책상요? 책상을 사지 않고 만들어요?,좋아요!! 그렇지만 대전 시내엔 성심당뿐이에요.,그럼 대전 전체를 돌아다닐까요? 궁동에 맛있는 샌드위치 가게도 있어요!!
안녕하세요? 여기 행복마트인데요. 지난주에 주문한 그릇 떄문에 전화 드렸습니다.,"네, 연락하려고 했는데 주문한 그릇이 왜 이렇게 안 와요?",원하시는 색깔이 가게에 없어서 공장에 주문을 했는데요. 생각보다 늦어져서요. 죄송합니다.,별로 안 끌리는걸요? 일단 다른 대안 생각해봐요.,샤로수 에그썸에 오므라이스는요?
요즘 대안학교 알아보고 있다면서?,응. 우리 애가 공부 때문에 스트레스 받는 거 같아서. 개성도 워낙 강하고. 대안학교에 가면 자유로운 분위기에서 공부할 수 있잖아.,그럴 수 있지. 일반학교는 아이들의 개별적인 특성을 다 고려할 수 없으니까. 그래서 우리 애도 대안학교에 보냈잖아.,제가 6월은 야간교대 날 하루 빼고는 주말 휴무가 없어요.,이렇게 우리는 또 만나지 못하는 건가요.
"선생님, 안녕하세요? 다음 주부터 방학이라 인사드리러 왔어요.","어, 어서 와요. 이번 방학에는 뭐 할거에요?",방학을 좀 특별하게 보내고 싶어서 자전거 여행을 해 보려고요.,예?,저 이모티콘 엄청 오랜만이네요.
아이 통장을 하나 만들려고 하는데요.,"아, 어린이 통장요? 요즘 입학 때라 많이들 만드시네요.",네. 우리 아이도 자기 통장을 갖고 싶어해서 선물하려고요.,네. 감사해요!,즐거운 여행 하세요!!! 저도 여행 가고 싶어요.
"강 선생님, 이번 현장학습은 어디로 가면 좋을까요?",음… 안전 교육 체험관이 어때요? 지진과 같은 자연재해를 체험해보면 학생들한테도 유익할 거에요.,그게 좋겠네요. 구체적으로 어떤 프로그램이 있는지 알아봐야겠어요. 위치도 알아보고요.,네네. 장마는 여행의 적이니까요.,아무튼 재밌게 놀다 오세요.
부산에 소포를 보내려고 하는데 지금 보내면 언제 도착해요?,지금 보내시면 모레 도착할 거에요.,오늘 저녁까지 도착할 수는 없을까요? 제가 좀 급해서요.,그래요? 가격도 적당하니까 시향해보고 마음에 들면 하나 사도 좋지요.,근처에 올리브영 있으니까 한번 맡아보고 괜찮으면 사려고요. 지금 쓰는 건 좀 무거운 느낌이라서요.
이번 주말에 모임이 있는데 같이 가실래요?,어떤 모임이에요?,혼자 사시는 할머니들을 도와 드리는 모임이에요.,놀러왔어요!,오! 어디로요?
오늘 거기서 송별회 하는 거지요? 아까 부장님이 물어 보시던데요.,금요일에는 손님이 많아서 예약이 꽉 찼다고 하던데요.,그래요? 거기가 조용해서 좋은데…,학교 가서요. 한 12시 반쯤 도착하지 않을까 싶어요.,괜찮아요. 나가서 쿼터 사오기 딱 좋은 시간이잖아요? 준비되실 때 연락 주시라고요.
대학원 입학 원서 접수하러 왔는데요.,"서류 가지고 오셨죠? 저, 입학 원서하고 연구 계획서는 있는데 추천서가 빠졌네요.","정말요? 어… 집에다 두고 온 것 같아요. 저, 오늘은 몇시까지 접수를 받아요?",강남역에서 엘리베이터 타고 지하 3층으로 오세요.,강남역 몇 호선이에요?
혈압이랑 시력 검사하셨어요? 검사지 좀 보여주세요.,네 여기요. 이제 또 뭐가 남았죠?,치과 검진 마치시고 엑스레이 찍으시면 되겠네요. 지금은 대기자가 많으니까 엑스레이부터 찍으셔야겠네요.,살려줘요. 엄청 더워요.,긴바지 입으면 덥겠네요. 반바지 입고 가는 거로 해요.
그런데 맞선은 처음이세요?,아뇨..처음은 아닙니다,전...처..처음인데.,살려줘요. 엄청 더워요.,그런데 청반바지가 없어서요.
왜 자꾸 욕을 하고 그러세요. ,내가 지금 욕 안하게 생겼어,"또 시작하시네..저 정말 서운합니다.,",그럼 가볼까요? 형은 언제 가게요?,이제 씻고 나가야죠.
나 자기 마누라 찾아가서 담판 질거야,"지금, 누굴 찾아가 담판을 져",나랑 그동안의 관계 다 말하고. 이혼해 달라고 할거야,저도 잘 못 챙겨주는 입장이라 그냥 같이 놀아주는 거로 대신하기로 했어요.,나쁘지 않아요. 대신에 도현님 하고 싶은 거 많이 많이 하세요!!
니가 내 심정을 알기나 하냐?,그럼요. 언짢으실거예요. 언짢으시다마다요.,이 사회가 어른들을 너무 우습게 본다.,허 갑자기 가기 싫어지는 걸요.,아마 학생분들 많이 있을 거예요. 그래도 엄청 많은 편은 아닐 테니 재미있게 보고 오세요. 
십자수랑 인형들 다 어디갔어요. 없네요?,내가 죄다 갖다 버렸어,그걸 왜 갖다 버려요!,지금 몇 명쯤 와계세요?,문이 여러 개인데 아무도 안보여요. 꽃분님이랑 니농이 와있다고 하셨고 저랑 제 친구 일단 4명인 것 같아요!
마누라가 당신 이러고 다니는 거 알아요?,저 유부남 아니거든요.,그럼 이런 것 때문에 이혼 당했군요.,그럴까요!,헉 좋아요. 열한 시에 9번 출구요?
오셨어요.,"어우 자식, 무식하게 힘만 쎄 가지고...",왜요? 무슨 일 있었어요?,엄마 말로는 걸을 수 있을 정도면 삔 것 같다고 하시긴 했는데 엄마는 자꾸 주무르고 움직여주래요.,혹시 모르니까 일단 힘은 주지 말아봐요. 무서워요.
촛불을 다 켜야 밥을 먹죠.,그 놈의 촛불을 꼭 켜야 밥을 먹겠어?,우아하고 운치 있잖아요. 냄새도 없애 준단 말이에요.,"근데 반팔, 반바지 입고 왔어요.",감기 걸리겠어요.
우리집일을 왜 그렇게 도와줘요?,무슨...말인지...,아뇨...오해는 하지 말고 들어요. 그냥 궁금해서 그래요,"아 아무래도 잘 익은? 그런 게 맛있겠죠. 수박 같은 느낌일까요. 너무 안 달거나, 너무너무 달거나?",네네 그런 기분이에요! 안 단 것보다는 엄청 단 게 좋죠.
왔냐?,어머니 왜 저러셔?,몰라...나한테도 눈길 한 번 안 주시더라,땡전 한 푼 없는 거지 로랑이에요. 흑 딱히 춥진 않으니 여기서 기다리려고요.,그럼 밤에는 좀 쌀쌀하니까 어디 건물 안에서라도 기다리고 있어요! 
아 왜,그만해라.,아니 엄마가 화를 안 푸시잖아,알겠어요. 이거 날이 더워서 냉동으로 가게 될 건데 이거 쪄서 김 좀 빼서 식혀서 먹으면 돼요.,알겠어요!
이따 점심 뭐 먹을거야?,갑자기 점심은 왜애?,엄마 저러고 있는데 집에 가서 어떻게 먹어,덴덴타운은 써져 있겠죠?,중고샵들은 없을지도 몰라요. 재미있게 다녀오세요.
왜 대답을 안해!,아우 귀 아퍼요. 왜 소리를 지르고 그러세요.,"내가 소리 안 지르게 생겼어, 사람이 출근을 하면 쳐다를 보고, 사람이 말을 하면 대꾸를 해야 할 거 아냐",헉 그때쯤 다시 연락할게요.,기다릴게요.
미스 김이 올해 몇이라고 했지?,스물 일곱요.,가만있자 스물일곱..스물일곱?,"빨리 물가 좀 내려가서 안정되면 좋겠어요. 과자 양도 제발 제대로 되던지, 아니면 가격을 내리든지 했으면 좋겠어요.",질소를 샀더니 과자 주는 거 그만했으면 좋겠어요.
그럼 문자로 남기세요.,나는 문자 못 남긴다구요. 핸드폰 자판 글씨가 너무 작아서 안보인다니까요.,아 그래서 저보고 지금 어쩌라는 말씀입니까?,휴 난 취직은 글렀으니 열심히 공부해야겠어요. ,나도 글러먹었어요.
물고기 키워 본 적 있어요?,없어요. 먹어본 적 밖에는.,온도는 내가 맞춰 놨으니까 내일 오전에 한번만 먹이 주면 되요.,언니랑 처음 떠나는 여행이라 더 기대돼요. 친언니랑 단둘이 해외여행 가본 적이 없었거든요.,"저도 이번에 동생과 처음 놀러 갔던 거였어요. 동생이 언니랑 가니까 좋은 거 같다고 하더군요, 전 마냥 좋았어요. 가족이랑 가면 뭔가 편안한 그런 게 있는 듯해요."
근데 넌 대학 진짜로 떨어졌냐?,어...그러니까 재수학원 다니고 있지.,참..근데 머리는 왜 그러냐?,감사해요! 역시 인천공항 쪽으로 반납하는 게 편하겠네요! 회사마다 가격도 차이가 없나요?,"정확하지는 않지만, 거의 배송비가 드냐, 안 드냐의 차이인 거 같아요! 저는 여러 군데에서 찾아보다가 비슷한 거 같길래 그냥 쿠팡에서 찾아서 했었어요. 물품 보관소가 열리는 시간이 있으니까 그거 한 번 맞춰서 알아보시는 게 좋을 거 같아요!"
할머니..이거 제가 댁까지 들어다 드릴께요...,됐어..요앞인데 뭐어...,아이 그래도...,올 때 갈 때요? 으 빨리 타고 싶어요.,네! 올 때 갈 때요!
아니 이거 뽀뽀 하는 물고기잖아요,지금 무슨 말씀 하시는 거예요?,아니 이상하잖아요. 뽀뽀하는 물고기면 뽀뽀를 해야죠.,그래서 말인데 부산에서 내 택배를 받아줘요.,차비 주면 갈게요.
그건 아직 안 익었어,원래 소고기는 핏기만 가시면 먹는거예요..,자 이것도 더 먹어.,반죽에도 섞어요.,맛이 특이하겠어요.
뭐해요?,책 보잖아,스탠드 켜고 봐요. 눈 나빠져요.,나는 학생이에요.,나도 베이스 사 놓고 안 해요.
이왕 이렇게 나오셔서 제 얼굴을 보셨으니까 말씀좀 전해주세요.,직접 만나서 말씀하시지 그래요.,싫습니다. 난 할말 없어요.,헉 그럼 나중에 시간 괜찮을 때 연락 줘요!,내가 주는 쪽인가요! 나는 다음 주 화요일부터 쭉 프리해요! 지갑도 프리해요! 
내가 잘못은 하긴 했는데요. 말은 그렇게 함부로 하지 맙시다,혼인빙자 간음죄나 사기죄나 둘 중 하나로 감옥 들어가면 되겠네.,"알았어요. 그러면 감옥가죠. 뭐, 어차피 결혼은 인생의 무덤인데..무덤 보다는 감옥이 낫지",제독께선 어떤 하루를 보내셨나요? 특별히 좋지 않은 일은 없으셨기를 바라지만요.,"좋을 것도, 좋지 못한 것도 없었다고나 할까요."
약사님은 들어가 계세요. 제 일인데요.,"니일 내일이 어딨어요, 같이 하는 일인데요.",하하...아무튼 감사합니다.,앗! 저는 서구 살아요.,"옆이죠, 뭐."
당신이 가요!,당신이 가라고!,왜 자꾸 나보고 가라고 그래요,맞아요.,오요님 파이팅 이에요. 탈 수 있을 거예요! 아니면 버스 출발해도 신호라도 걸리면 문 두드리면 되니까요.
"우리 아버지 뭐 하시는 거야,  진짜?",왜요? 재미있는 분 같으신데요,데려다 줄까요?,대구 유명한 케이크 집 가게에 초코케이크 종류만 한 8개 있을걸요. ,대구 너무 멀어요.
아무튼 두 분 감사해요.,감사하면 나중에 술사요,"그래요., 언제 밥을 먹든 술을 마시든 하죠",좋아요. 조심히 다녀오세요.,네. 근데 병원 가는데 너무 찔려요. 저번 주에도 왔었는데 의사선생님이 이 사람 안 아픈데 너무 자주 온다 생각할 거 같아요.
안...나가겠다는게 아니구요..선생님...조금 늦게다는 거예요,웃기지마! 지금 어디야,집인데요.,맞아요 사람이 너무 많아도 별로예요. 제대로 놀지도 못하고요.,맞아요. 그래서 3개인가 빨리 탈 수 있는 표가 있거든요! 그것도 사야 돼서 더 비싼 거예요.
아우 어머니 왜 그러세요?,가만있어 인석아! 너 내일 미팅인가 맞선인가 보잖아. 좀 준비를 하고 나가야 할거 아냐?,제가 무슨 준비를 해요...,저도 메모할게요. 가까운 쭈삼 맛집을 알아봅시다.,저도 알아보겠습니다! 
저녁 설거지 한거야?,네...,집에 가는거야?,맞아요! 그래도 시간대 넉넉하고 궁금하기도 하고 한 번쯤은 편하게 가고 싶어서 신청했어요!,우와 나중에 후기 알려주세요! 대박이에요.
왜 그렇게 웃어요? 사람 기분 나쁘게,너무 웃겨서요. 하하하하.,뭐가 웃겨요?,차 왔어요!,"오, 축하해요."
다음주 제사는 어떡할거야?,아니 다음주 제사를 왜 벌써 이야길 해요.,아무튼 다음주 제사 어떡할거냐고?,며칠 안 남았네요. 저희 잘 볼 수 있을 거예요. 그렇죠? ,해치 님도 저도 목표 등급 찍을 수 있어요! 긍정적으로요!
기분이 좋아?,네,왜 좋아?,빨리 만들고 잘래요.,그래요. 학교가 사람을 망치네요! 
뭐 임마!,무슨 일이야?,너 알거 없어 자식아!,외근 지라 그런 거 없어요.,언니 마음이 찢어지네요. 
우리 오랜만이지?,그래,너는 하나도 안 변했다.,좋아요. 코믹이나 개인 촬영 가면 좋겠어요. 막 펜션 같은 거 잡아두고 거기서 캠핑해요. ,제가 저희 이모네 별장 빌릴게요. 거기 가서 다 같이 놀아요. 
내가 그걸 어떻게 아냐?,왜 화를 내세요.?,배고프니까 그렇잖아.,맛있는데 살 안 찌고 포만감도 오래가고 먹어도 먹어도 질리지 않는 그런 음식 없을까요?,바랄걸 바라세요. 
정말 이럴거야?,아무튼...저 이번 주까지만 일할거니까요.,누구 맘대로 이번 주까지만 일해!,"아니, 갈매기가 그런 거 먹어도 되는 거예요? 너무 무서워요.",그러니까 깡패예요. 무섭다고요. 바다에서 여유롭게 파도 소리를 들으며 햄버거 먹기 절대 불가능해요. 
국장님!,어! 자네,왜 여기서 혼자 술을 드세요???,믿어요! 미래의 나! 나 근데 이번 달 카드값 또 백만 원 넘은듯해요. 대체 쓴 것도 없는데 왜죠? ,나도 백순데 카드 값 또 100만 원 나왔어요. 이제 통장이 내핵도 뚫고 갈 듯해요! 왜죠? 술이라도 잔뜩 마신 거면 억울하지 않을 텐데요. 
뭘 그렇게 봐요!,정말! 소아과 최고 권위자를 소개 시켜 줄거죠.?,그런다니까요. 정말! 그렇게 앞집 사람을 못 믿어서 어떡하려고 그래요?,믿어요! 미래의 나! 나 근데 이번 달 카드값 또 백만 원 넘은듯해요. 대체 쓴 것도 없는데 왜죠? ,나도 백순데 카드 값 또 100만 원 나왔어요. 이제 통장이 내핵도 뚫고 갈 듯해요! 왜죠? 술이라도 잔뜩 마신 거면 억울하지 않을 텐데요. 
나이가 몇 살인데 한글도 제대로 못써!,나는 한국말 잘 몰라요.,니 동생은 잘 하잖아!,일단 저도 돈부터 모으고 여권 만들고 배 편 시간 찾아봐야죠. ,네네. 즐거운 여행 되었으면 좋겠네요! 
여기서 멀어요?,걸어서는 한참 가야 돼!,얼마나 걸려요.,"뭐야, 완전 늦어요. 안돼요. 일요일에 봐요. ",일요일 언제 어디서 볼지 정해서 알려주세요.
